RefImageName,NoiseType,NoisyImage
../utils/GrayScale/240.png,0,0.png
../utils/GrayScale/236.png,1,1.png
../utils/GrayScale/261.png,3,2.png
../utils/GrayScale/262.png,0,3.png
../utils/GrayScale/249.png,2,4.png
../utils/GrayScale/224.png,2,5.png
../utils/GrayScale/228.png,2,6.png
../utils/GrayScale/256.png,3,7.png
../utils/GrayScale/268.png,2,8.png
../utils/GrayScale/290.png,3,9.png
../utils/GrayScale/222.png,1,10.png
../utils/GrayScale/285.png,1,11.png
../utils/GrayScale/248.png,1,12.png
../utils/GrayScale/259.png,2,13.png
../utils/GrayScale/255.png,3,14.png
../utils/GrayScale/266.png,0,15.png
../utils/GrayScale/250.png,2,16.png
../utils/GrayScale/278.png,3,17.png
../utils/GrayScale/271.png,0,18.png
../utils/GrayScale/250.png,3,19.png
../utils/GrayScale/242.png,3,20.png
../utils/GrayScale/233.png,2,21.png
../utils/GrayScale/237.png,2,22.png
../utils/GrayScale/272.png,0,23.png
../utils/GrayScale/284.png,3,24.png
../utils/GrayScale/298.png,3,25.png
../utils/GrayScale/261.png,2,26.png
../utils/GrayScale/201.png,2,27.png
../utils/GrayScale/257.png,3,28.png
../utils/GrayScale/293.png,1,29.png
../utils/GrayScale/291.png,2,30.png
../utils/GrayScale/292.png,2,31.png
../utils/GrayScale/232.png,1,32.png
../utils/GrayScale/225.png,3,33.png
../utils/GrayScale/296.png,0,34.png
../utils/GrayScale/203.png,1,35.png
../utils/GrayScale/280.png,2,36.png
../utils/GrayScale/275.png,3,37.png
../utils/GrayScale/289.png,1,38.png
../utils/GrayScale/267.png,2,39.png
../utils/GrayScale/245.png,3,40.png
../utils/GrayScale/205.png,2,41.png
../utils/GrayScale/240.png,2,42.png
../utils/GrayScale/254.png,2,43.png
../utils/GrayScale/256.png,2,44.png
../utils/GrayScale/250.png,2,45.png
../utils/GrayScale/255.png,0,46.png
../utils/GrayScale/269.png,0,47.png
../utils/GrayScale/205.png,2,48.png
../utils/GrayScale/287.png,3,49.png
../utils/GrayScale/227.png,2,50.png
../utils/GrayScale/261.png,0,51.png
../utils/GrayScale/266.png,2,52.png
../utils/GrayScale/295.png,0,53.png
../utils/GrayScale/249.png,3,54.png
../utils/GrayScale/266.png,0,55.png
../utils/GrayScale/226.png,0,56.png
../utils/GrayScale/254.png,0,57.png
../utils/GrayScale/239.png,2,58.png
../utils/GrayScale/281.png,2,59.png
../utils/GrayScale/228.png,3,60.png
../utils/GrayScale/219.png,3,61.png
../utils/GrayScale/298.png,3,62.png
../utils/GrayScale/273.png,3,63.png
../utils/GrayScale/231.png,0,64.png
../utils/GrayScale/252.png,0,65.png
../utils/GrayScale/258.png,3,66.png
../utils/GrayScale/285.png,2,67.png
../utils/GrayScale/244.png,2,68.png
../utils/GrayScale/247.png,3,69.png
../utils/GrayScale/248.png,3,70.png
../utils/GrayScale/275.png,2,71.png
../utils/GrayScale/293.png,2,72.png
../utils/GrayScale/257.png,0,73.png
../utils/GrayScale/291.png,1,74.png
../utils/GrayScale/276.png,3,75.png
../utils/GrayScale/263.png,0,76.png
../utils/GrayScale/224.png,1,77.png
../utils/GrayScale/214.png,0,78.png
../utils/GrayScale/282.png,1,79.png
../utils/GrayScale/249.png,2,80.png
../utils/GrayScale/231.png,0,81.png
../utils/GrayScale/243.png,2,82.png
../utils/GrayScale/206.png,3,83.png
../utils/GrayScale/261.png,2,84.png
../utils/GrayScale/228.png,0,85.png
../utils/GrayScale/263.png,3,86.png
../utils/GrayScale/289.png,2,87.png
../utils/GrayScale/200.png,2,88.png
../utils/GrayScale/234.png,0,89.png
../utils/GrayScale/213.png,2,90.png
../utils/GrayScale/211.png,3,91.png
../utils/GrayScale/287.png,3,92.png
../utils/GrayScale/266.png,1,93.png
../utils/GrayScale/254.png,0,94.png
